min_el,max_el,min_az,max_az,Num
30,45,0,24,49
30,45,336,360,42
15,30,320,360,38
15,30,0,40,37
45,60,0,19,36
45,60,341,360,33
0,15,240,360,26
0,15,0,120,24
60,75,0,16,18
0,15,120,240,14
300,315,170.5,189.47,11
240,255,180,196.4,11
60,75,344,360,11
315,330,168,192,10
165,180,240,360,10
75,90,345,360,9
15,30,40,80,8
165,180,0,120,8
195,210,160,200,8
330,345,160,200,8
75,90,0,15,7
15,30,80,120,7
225,240,170.5,189.47,7
210,225,168,192,7
345,360,120,240,7
30,45,312,336,7
90,105,0,15,6
45,60,19,38,6
285,300,164,180,5
15,30,280,320,5
90,105,345,360,5
30,45,24,48,4
330,345,120,160,4
315,330,144,168,4
255,270,165,180,4
255,270,180,195,4
120,135,0,19,3
225,240,152,170.5,3
225,240,189.47,208.4,3
195,210,200,240,3
60,75,327,344,3
105,120,344,360,3
135,150,0,24,2
150,165,0,40,2
300,315,95,114,2
285,300,147,164,2
255,270,150,165,2
285,300,180,196.4,2
270,285,195,210,2
330,345,200,240,2
45,60,303,322,2
45,60,322,341,2
105,120,0,16,1
60,75,16,33,1
85,90,30,45,1
135,150,24,48,1
120,135,38,57,1
45,60,38,57,1
75,90,45,60,1
60,75,65,82,1
300,315,114,133,1
270,285,120,135,1
285,300,131,147,1
270,285,135,150,1
300,315,152,170.5,1
240,255,164,180,1
270,285,180,195,1
300,315,189.47,208.4,1
255,270,195,210,1
210,225,192,216,1
225,240,208.4,227.4,1
300,315,208.4,227.4,1
240,255,212.7,229.1,1
210,225,216,240,1
255,270,225,240,1
315,330,216,240,1
30,45,240,264,1
75,90,255,270,1
105,120,261.8,278.2,1
60,75,261.8,278.2,1
105,120,278.2,295,1
45,60,284,303,1
105,120,295,311,1
30,45,288,312,1
90,105,300,315,1
150,165,280,320,1
105,120,311,327,1
90,105,315,330,1
75,90,315,330,1
